askvalue,date
5.3261,2020-04-03
5.2918,2020-04-06
5.2283,2020-04-07
5.1432,2020-04-08
5.0906,2020-04-09
5.1855,2020-04-13
5.1906,2020-04-14
5.2424,2020-04-15
5.2565,2020-04-16
5.2359,2020-04-17
5.3092,2020-04-20
5.4094,2020-04-22
5.5278,2020-04-23
5.6681,2020-04-24
5.6639,2020-04-27
5.5172,2020-04-28
5.3552,2020-04-29
5.438,2020-04-30
5.5224,2020-05-04
5.5902,2020-05-05
5.7035,2020-05-06
5.8399,2020-05-07
5.7401,2020-05-08
5.8242,2020-05-11
5.8657,2020-05-12
5.9012,2020-05-13
5.8202,2020-05-14
5.8392,2020-05-15
5.7224,2020-05-18
5.7609,2020-05-19
5.6902,2020-05-20
5.5824,2020-05-21
5.5739,2020-05-22
5.458,2020-05-25
5.3599,2020-05-26
5.2828,2020-05-27
5.386,2020-05-28
5.3404,2020-05-29
5.3843,2020-06-01
5.2104,2020-06-02
5.0862,2020-06-03
5.1315,2020-06-04
4.9877,2020-06-05
4.855,2020-06-08
4.8885,2020-06-09
4.9398,2020-06-10
5.0454,2020-06-12
5.1421,2020-06-15
5.2324,2020-06-16
5.261,2020-06-17
5.3715,2020-06-18
5.3182,2020-06-19
5.2722,2020-06-22
5.1531,2020-06-23
5.3246,2020-06-24
5.3278,2020-06-25
